City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,batticaloa,7.7102,81.6924,296.0,86,clear sky,5.24,LK,1668978301
1,usinsk,65.9939,57.5281,273.58,98,light snow,7.76,RU,1668978014
2,dikson,73.5069,80.5464,244.84,95,few clouds,3.68,RU,1668978302
3,rikitea,-23.1203,-134.9692,292.76,86,moderate rain,5.88,PF,1668978303
4,new norfolk,-42.7826,147.0587,282.55,67,few clouds,2.68,AU,1668978304
5,yaransk,57.3033,47.8861,263.12,83,overcast clouds,1.58,RU,1668978304
6,ushuaia,-54.8,-68.3,281.73,76,light rain,2.12,AR,1668978026
7,atuona,-9.8,-139.0333,298.49,73,clear sky,5.88,PF,1668978306
8,jamestown,42.097,-79.2353,269.92,78,mist,6.17,US,1668978306
9,port alfred,-33.5906,26.891,288.81,92,clear sky,3.8,ZA,1668978307
10,awjilah,29.1081,21.2869,293.08,25,overcast clouds,3.88,LY,1668978308
11,seoul,37.5683,126.9778,281.84,58,broken clouds,0.57,KR,1668978020
12,mehamn,71.0357,27.8492,275.12,87,broken clouds,2.57,NO,1668978193
13,ulladulla,-35.35,150.4667,288.4,59,clear sky,7.5,AU,1668978310
14,yellowknife,62.456,-114.3525,262.61,94,scattered clouds,2.37,CA,1668978062
15,komsomolskiy,40.4272,71.7189,277.55,87,mist,3.09,UZ,1668978311
16,punta arenas,-53.15,-70.9167,285.21,54,light rain,9.77,CL,1668978312
17,yar-sale,66.8333,70.8333,257.9,95,overcast clouds,5.7,RU,1668978313
18,hilo,19.7297,-155.09,300.0,78,few clouds,4.63,US,1668978228
19,vaini,-21.2,-175.2,297.95,71,overcast clouds,4.35,TO,1668978315
20,cape town,-33.9258,18.4232,291.08,67,few clouds,6.26,ZA,1668978314
21,bethel,41.3712,-73.414,274.2,38,clear sky,5.66,US,1668978316
22,kapaa,22.0752,-159.319,301.14,75,scattered clouds,7.72,US,1668978317
23,bluff,-46.6,168.3333,288.04,80,broken clouds,2.68,NZ,1668978318
24,vestmannaeyjar,63.4427,-20.2734,280.22,76,scattered clouds,10.14,IS,1668978319
25,luderitz,-26.6481,15.1594,290.61,72,overcast clouds,5.85,NA,1668978319
26,avarua,-21.2078,-159.775,298.18,61,few clouds,7.72,CK,1668978320
27,itarema,-2.9248,-39.9167,299.72,77,broken clouds,7.65,BR,1668978321
28,cabo san lucas,22.8909,-109.9124,301.27,57,clear sky,6.17,MX,1668978322
29,tasiilaq,65.6145,-37.6368,277.24,81,light rain,6.18,GL,1668978322
30,vardo,70.3705,31.1107,275.14,87,overcast clouds,3.6,NO,1668978207
31,saskylakh,71.9167,114.0833,239.92,100,overcast clouds,1.36,RU,1668978325
32,tuktoyaktuk,69.4541,-133.0374,264.66,95,light snow,3.48,CA,1668978325
33,wilmington,34.2257,-77.9447,282.1,43,overcast clouds,2.24,US,1668978048
34,saint george,37.1041,-113.5841,285.61,25,clear sky,1.34,US,1668978327
35,talnakh,69.4865,88.3972,244.86,95,overcast clouds,2.23,RU,1668978327
36,kaitangata,-46.2817,169.8464,289.05,76,broken clouds,1.59,NZ,1668978328
37,buin,-33.7333,-70.75,302.83,11,clear sky,5.62,CL,1668978329
38,upernavik,72.7868,-56.1549,263.5,94,light snow,6.41,GL,1668978329
39,andilamena,-17.0167,48.5833,294.63,76,overcast clouds,0.99,MG,1668978330
40,georgetown,5.4112,100.3354,300.11,89,few clouds,0.51,MY,1668978332
41,isangel,-19.55,169.2667,300.66,75,few clouds,2.15,VU,1668978332
42,chhagalnaiya,23.03,91.5069,294.29,68,overcast clouds,2.48,BD,1668978333
43,chase,50.8165,-119.6857,273.75,75,broken clouds,1.36,CA,1668978334
44,sao jose da coroa grande,-8.8978,-35.1478,298.57,76,broken clouds,3.74,BR,1668978334
45,saint-philippe,-21.3585,55.7679,295.92,78,scattered clouds,4.25,RE,1668978335
46,mataura,-46.1927,168.8643,287.86,68,broken clouds,1.65,NZ,1668978336
47,maceio,-9.6658,-35.7353,298.84,83,few clouds,4.63,BR,1668978336
48,xining,36.6167,101.7667,270.69,48,overcast clouds,0.86,CN,1668978337
49,illapel,-31.6308,-71.1653,296.56,45,overcast clouds,3.67,CL,1668978338
50,tiksi,71.6872,128.8694,247.45,100,overcast clouds,1.19,RU,1668978338
51,san rafael,-34.6177,-68.3301,294.56,25,few clouds,8.3,AR,1668978339
52,geraldton,-28.7667,114.6,284.38,87,clear sky,3.6,AU,1668978340
